market,date_utc,date_kst,open,high,low,close,timestamp,value_krw,volume,prev_closing_price,change_price,change_rate
KRW-BTC,2017-09-25,2017-09-25 09:00:00,4201000.0,4333000.0,4175000.0,4322000.0,1506383997779,560214613.8164,132.48475499,4201000.0,121000.0,0.028802666
KRW-BTC,2017-09-26,2017-09-26 09:00:00,4317000.0,4418000.0,4311000.0,4321000.0,1506470368661,99507239.78705,22.78833969,4322000.0,-1000.0,-0.0002313744
KRW-BTC,2017-09-27,2017-09-27 09:00:00,4322000.0,4677000.0,4318000.0,4657000.0,1506556751533,144827622.95669,32.2696617,4321000.0,336000.0,0.0777597778
KRW-BTC,2017-09-28,2017-09-28 09:00:00,4657000.0,4772000.0,4519000.0,4586000.0,1506643183630,372185978.32992,80.5882434,4657000.0,-71000.0,-0.0152458664
KRW-BTC,2017-09-29,2017-09-29 09:00:00,4586000.0,4709000.0,4476000.0,4657000.0,1506729571852,272455756.80078,59.35237346,4586000.0,71000.0,0.0154819014
KRW-BTC,2017-09-30,2017-09-30 09:00:00,4657000.0,4896000.0,4651000.0,4895000.0,1506815987704,95614755.70559,19.99848332,4657000.0,238000.0,0.0511058621
KRW-BTC,2017-10-01,2017-10-01 09:00:00,4889000.0,4978000.0,4682000.0,4962000.0,1506902400205,133132538.89401,27.32333246,4895000.0,67000.0,0.0136874362
KRW-BTC,2017-10-02,2017-10-02 09:00:00,4962000.0,5095000.0,4956000.0,5025000.0,1506988764731,159931532.80646,31.72800385,4962000.0,63000.0,0.0126964933
KRW-BTC,2017-10-03,2017-10-03 09:00:00,5021000.0,5079000.0,4811000.0,4964000.0,1507075131482,58901304.61549,11.89930699,5025000.0,-61000.0,-0.0121393035
KRW-BTC,2017-10-04,2017-10-04 09:00:00,4987000.0,5002000.0,4837000.0,4895000.0,1507161584430,34588125.30359,7.03874388,4964000.0,-69000.0,-0.0139000806
KRW-BTC,2017-10-05,2017-10-05 09:00:00,4894000.0,4993000.0,4811000.0,4926000.0,1507247992606,26371319.19136,5.36365175,4895000.0,31000.0,0.0063329928
KRW-BTC,2017-10-06,2017-10-06 09:00:00,4927000.0,5034000.0,4885000.0,5027000.0,1507334379598,123935127.5442,25.16382027,4926000.0,101000.0,0.0205034511
KRW-BTC,2017-10-07,2017-10-07 09:00:00,4983000.0,5070000.0,4935000.0,5047000.0,1507420787496,21667485.97149,4.343932,5027000.0,20000.0,0.003978516
